Time,Action,Data
2017/11/14 14:31:05,Create,"{u'description': u'Composite line task replication', u'title': u'Composite task', u'url': u'https://web.stanford.edu/~dfinzi/Zhao_et_al_2016_replication/preview.html', u'assignment_duration': u'1 hour', u'qualifications': {u'location': u'US', u'approval_percentage': 85}, u'frame_height': 450, u'keywords': u'psychology, behavioral, study, experiment', u'auto_approval_delay': u'2 days', u'reward': 1.5}"
2017/11/14 14:40:51,Expire,
